ID,POS,#,Name,Nickname,Age,NAT,COB,HT,WT,B,T,Schl,CommSch,COMP,HSC,PIT,G/F,VELO,Slot,PT,G,Starts,PA,AB,H,2B,3B,HR,RBI,R,BB,SO,EBH,AVG,OBP,SLG,RC,RC/27,ISO,wOBA,OPS,BABIP,WPA,WAR,PI/PA,SB,CS,GP,GS,W,L,SV,BS,HLD,IP,HA,HRA,R,ER,BB,K,ERA,BABIP,WHIP,RA/9,HR/9,H/9,BB/9,K/9,K/BB,QS,CG,SHO,GO%,FIP,WPA,WAR,rWAR,DEM,Sign,SctAcc,Year,Notes
35210,SP,35,ANDY FERGUSON,,17,USA,"Philadelphia, PA","6' 0""",155 lbs,Switch,Right,Childs,-,Average,HS Junior,3,NEU,85-87 Mph,Normal (3/4),Normal,6,6,30,28,10,5,2,0,6,8,0,5,7,0.357,0.357,0.679,6,7.4,0.321,0.401,1.036,0.435,0,0.2,0,5,2,14,7,3,1,1,0,0,60.2,48,2,18,14,17,59,2.08,0.257,1.07,10.1,0.3,7.1,2.5,8.8,3.5,0,0,0,0,2.67,0,1.8,2,Slot,Extremely Hard,Average,1935,
35580,CF,17,ANDY HOLLINQUEST,,18,USA,"Chicopee, MA","5' 7""",140 lbs,Right,Right,Huntington,Red River State,Average,HS Senior,1,EX FB,80-83 Mph,Normal (3/4),Normal,25,25,127,117,50,14,5,0,27,40,7,5,19,0.427,0.464,0.632,37.9,13.5,0.205,0.463,1.096,0.446,0,1.6,0,33,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935,
34467,SP,56,ARKY WILLIAMS,,18,USA,"Minneapolis, MN","5' 10""",160 lbs,Right,Right,Minneapolis,Baton Rouge State,Average,HS Senior,3,NEU,83-85 Mph,Normal (3/4),Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,4,2,0,0,0,75.1,77,3,32,28,24,47,3.35,0.287,1.34,12.3,0.4,9.2,2.9,5.6,2,0,0,0,0,3.51,0,1.4,1.4,Slot,Extremely Hard,Average,1935,
36823,SP,21,ARNOLD STEVENS,,17,USA,"Columbia, MD","5' 9""",150 lbs,Left,Left,Wilkes-Barre,Bardney,Average,HS Senior,4,NEU,88-90 Mph,Normal (3/4),Normal,21,21,107,98,35,7,2,0,20,31,3,13,9,0.357,0.365,0.469,17.7,6.7,0.112,0.349,0.835,0.398,0,0.3,0,5,2,16,16,7,5,0,0,0,122,100,2,32,29,40,125,2.14,0.278,1.15,10.3,0.1,7.4,3,9.2,3.1,0,0,0,0,2.35,0,4.6,5,Slot,Extremely Hard,Average,1935,
33966,SP,16,ART COURTNEY,,15,USA,"Westerville, OH","5' 9""",135 lbs,Switch,Right,Westerville,-,Average,HS Freshman,4,EX GB,83-85 Mph,Normal (3/4),Groundballer,24,24,120,113,42,11,0,0,27,29,1,9,11,0.372,0.373,0.469,20.3,7.1,0.097,0.358,0.842,0.393,0,0.4,0,1,1,18,10,7,0,0,0,0,81.2,54,1,15,13,25,105,1.43,0.26,0.97,8.9,0.1,6,2.8,11.6,4.2,0,0,0,0,1.78,0,3.6,3.9,Slot,Extremely Hard,Average,1935,
33894,CF,18,ART PORTMAN,,15,USA,"Orange, CA","5' 9""",150 lbs,Right,Right,Orange,-,Average,HS Freshman,1,EX FB,80-83 Mph,Normal (3/4),Normal,22,22,113,93,41,13,2,0,21,37,11,4,15,0.441,0.518,0.624,33,15.6,0.183,0.487,1.142,0.451,0,1.7,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935,
35602,SP,5,ART SAUNDERS,,17,USA,"Omaha, NE","5' 10""",150 lbs,Left,Right,Manning,Oklahoma City State,Average,HS Senior,4,GB,86-88 Mph,Over the Top,Groundballer,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,5,0,1,0,0,63.2,40,1,7,6,10,92,0.85,0.255,0.79,7.1,0.1,5.7,1.4,13,9.2,0,0,0,0,0.99,0,3.6,3.6,Impossible,Impossible,Average,1935,
34217,SP,23,BABE FOSTER,,20,USA,"Cambridge, MA","5' 9""",160 lbs,Left,Left,Huntington State,-,Great,CO Sophomore,4,NEU,80-83 Mph,Normal (3/4),Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,2,5,0,0,0,73.2,91,9,55,54,45,30,6.6,0.312,1.85,17,1.1,11.1,5.5,3.7,0.7,0,0,0,0,5.93,0,-0.6,-0.8,Slot,Extremely Hard,Average,1935,
34640,SP,18,BABE HERSHBERGER,,16,USA,"New York, NY","5' 9""",140 lbs,Right,Right,Moorestown,-,Average,HS Sophomore,3,NEU,86-88 Mph,Normal (3/4),Normal,23,23,119,111,42,12,1,0,24,29,2,13,13,0.378,0.388,0.505,21.7,7.4,0.126,0.376,0.892,0.42,0,0.6,0,10,5,13,13,10,0,0,0,0,98.2,70,3,16,15,15,134,1.37,0.277,0.86,8,0.3,6.4,1.4,12.2,8.9,0,0,0,0,1.43,0,5.3,5.5,Slot,Extremely Hard,Average,1935,
35674,C,24,BARNEY GEORGE,,18,USA,"New York, NY","5' 9""",165 lbs,Right,Right,South River,Oklahoma City State,Average,HS Senior,1,FB,80-83 Mph,Over the Top,Normal,25,25,127,107,47,9,2,0,28,38,15,2,11,0.439,0.504,0.561,33.2,13.8,0.121,0.464,1.065,0.435,0,1.6,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935,
35225,C,18,BEN WEST,,17,USA,"Jackson, MI","5' 11""",165 lbs,Switch,Right,Flint,-,Average,HS Junior,1,FB,80-83 Mph,Normal (3/4),Normal,23,23,115,100,41,9,0,0,25,37,13,5,9,0.41,0.478,0.5,25.9,11.5,0.09,0.435,0.978,0.427,0,1.2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935,
34048,2B,6,BERNIE SCOTT,,16,USA,"Philadelphia, PA","5' 9""",155 lbs,Right,Right,York,-,Average,HS Sophomore,1,NEU,80-83 Mph,Normal (3/4),Normal,25,25,127,109,46,9,1,0,25,37,16,5,10,0.422,0.504,0.523,32.6,13.1,0.101,0.458,1.027,0.442,0,1.6,0,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935,
35479,C,15,BERT LEONARD,,21,USA,"Buffalo, NY","5' 9""",180 lbs,Right,Right,Bluegrass State,-,Great,CO Junior,1,FB,80-83 Mph,Over the Top,Normal,58,58,290,265,68,12,1,0,42,54,17,15,13,0.257,0.309,0.309,27.3,3.6,0.053,0.28,0.618,0.27,0,-0.9,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Easy,Average,1935,
35536,SP,9,BILL BAKER,SEAWEED,20,USA,"Cincinnati, OH","5' 10""",160 lbs,Right,Right,Carolina Poly,-,Great,CO Junior,3,NEU,84-86 Mph,Normal (3/4),Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,4,8,0,0,0,110,122,9,72,68,72,63,5.56,0.31,1.76,16.1,0.7,10,5.9,5.2,0.9,0,0,0,0,5.16,0,0,-0.3,Slot,Normal,Average,1935,
34488,SP,6,BILL GRAY,,16,USA,"Arlington, MA","6' 0""",150 lbs,Right,Right,St. Patrick's Prep,-,Average,HS Sophomore,3,NEU,86-88 Mph,Normal (3/4),Normal,27,27,136,128,52,13,0,0,32,36,1,5,13,0.406,0.406,0.508,26.9,8.5,0.102,0.387,0.914,0.413,0,0.8,0,6,3,13,13,7,2,0,0,0,100,85,3,31,30,43,86,2.7,0.265,1.28,11.7,0.3,7.7,3.9,7.7,2,0,0,0,0,3.22,0,2.4,3.4,Slot,Extremely Hard,Average,1935,
34318,LF,19,BILL HOLLIS,,18,USA,"Detroit, MI","6' 0""",175 lbs,Left,Left,Northwestern,Piedmont University,Average,HS Senior,1,NEU,80-83 Mph,Normal (3/4),Normal,22,22,111,91,42,10,2,0,21,34,14,6,12,0.462,0.546,0.615,32.9,16.8,0.154,0.494,1.162,0.494,0,1.7,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Hard,Average,1935,
35252,SP,4,BILL LEWIS,,20,USA,"Cleburne, TX","5' 10""",170 lbs,Switch,Right,Texas Gulf Coast,-,Great,CO Sophomore,4,NEU,85-87 Mph,Normal (3/4),Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,5,8,0,0,0,124,155,19,104,102,96,48,7.4,0.31,2.02,18.2,1.4,11.3,7,3.5,0.5,0,0,0,0,6.74,0,-1.9,-2.1,Slot,Extremely Hard,Average,1935,
34448,SP,21,BILL MENDEZ,,22,USA,"Salt Lake City, UT","6' 1""",190 lbs,Left,Left,Fremont State,-,Good,CO Senior,4,NEU,83-85 Mph,Normal (3/4),Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,4,7,0,0,0,102,108,10,56,54,54,58,4.76,0.293,1.59,14.3,0.9,9.5,4.8,5.1,1.1,0,0,0,0,4.93,0,0.3,0.7,Slot,Normal,Average,1935,
36203,SP,16,BILL RAMSEY,SUDSY,18,USA,"Philadelphia, PA","6' 1""",170 lbs,Left,Left,Red River State,-,Good,CO Freshman,6,NEU,83-85 Mph,Sidearm,Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,5,8,0,0,0,127.2,170,7,110,108,115,14,7.61,0.323,2.23,20.1,0.5,12,8.1,1,0.1,0,0,0,0,6.4,0,-1.6,-2.4,Slot,Extremely Hard,Average,1935,
34584,LF,2,BILL ROGERS,,16,USA,"Oshkosh, WI","5' 9""",155 lbs,Right,Right,Madison,-,Average,HS Sophomore,1,FB,80-83 Mph,Normal (3/4),Normal,23,23,117,96,44,10,1,0,25,35,17,5,11,0.458,0.544,0.583,33.2,15.5,0.125,0.484,1.127,0.484,0,1.7,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935,
33939,SP,4,BILL RUSSELL,,15,USA,"Cressona, PA","5' 9""",140 lbs,Right,Right,Cressona,-,Average,HS Freshman,3,NEU,83-85 Mph,Normal (3/4),Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,4,2,0,0,0,70,56,3,20,17,21,66,2.19,0.251,1.1,10.3,0.4,7.2,2.7,8.5,3.1,0,0,0,0,2.9,0,1.9,2.4,Slot,Extremely Hard,Average,1935,
37868,SP,14,BILL SEABOLT,,20,USA,"Brooklyn, NY","6' 0""",160 lbs,Right,Right,Central Ohio,-,Great,CO Junior,5,GB,89-91 Mph,Normal (3/4),Groundballer,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,7,4,0,0,0,105.2,101,2,41,39,48,65,3.32,0.291,1.41,12.7,0.2,8.6,4.1,5.5,1.4,0,0,0,0,3.58,0,2.1,2.6,Slot,Normal,Average,1935,
36481,SP,10,BILL SMILES,,19,USA,"New York, NY","5' 10""",155 lbs,Right,Right,Miller State,-,Average,CO Sophomore,4,NEU,84-86 Mph,Normal (3/4),Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,2,5,0,0,0,78.1,86,10,42,40,28,48,4.6,0.299,1.46,13.2,1.1,9.9,3.2,5.5,1.7,0,0,0,0,4.74,0,0.3,0.6,Slot,Extremely Hard,Average,1935,
34440,SP,25,BILL TUTTLE,,16,USA,"New Orleans, LA","5' 11""",155 lbs,Right,Right,Easton,Arkansas A&T,Average,HS Senior,3,NEU,83-85 Mph,Normal (3/4),Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,8,3,0,0,0,111.2,103,3,36,32,33,99,2.58,0.288,1.22,11,0.2,8.3,2.7,8,3,0,0,0,0,2.66,0,3.6,3.6,Slot,Hard,Average,1935,
35307,SS,8,BILL WILLIAMS,,16,USA,"Philadelphia, PA","5' 10""",150 lbs,Right,Right,Tullytown,-,Average,HS Junior,1,FB,80-83 Mph,Normal (3/4),Normal,26,26,130,112,51,11,3,0,32,41,12,6,14,0.455,0.508,0.607,40.9,15.3,0.152,0.481,1.115,0.468,0,1.9,0,35,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935,
34019,SP,19,BILL WILLMAN,,19,USA,"Pittsburgh, PA","5' 10""",165 lbs,Right,Right,Strub College,-,Great,CO Freshman,3,EX GB,84-86 Mph,Over the Top,Groundballer,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,5,3,0,0,0,80,68,1,32,30,49,79,3.38,0.31,1.46,13.2,0.1,7.7,5.5,8.9,1.6,0,0,0,0,3.23,0,1.8,1.7,Slot,Extremely Hard,Average,1935,
35378,SP,4,BILL YOUNG,,16,USA,"Lancaster, PA","6' 1""",160 lbs,Left,Left,Fleetwood,-,Average,HS Junior,3,NEU,84-86 Mph,Over the Top,Normal,7,7,36,31,11,7,1,0,9,10,0,5,8,0.355,0.324,0.645,6.6,6.8,0.29,0.359,0.969,0.379,0,0.1,0,2,1,13,9,3,2,0,0,0,65,59,3,29,25,35,52,3.46,0.272,1.45,13.3,0.4,8.2,4.8,7.2,1.5,0,0,0,0,3.91,0,0.9,1.1,Slot,Extremely Hard,Average,1935,
34072,3B,48,BILLY LILES,,16,USA,"New York, NY","5' 9""",150 lbs,Right,Right,Youngsville,-,Average,HS Sophomore,1,EX FB,80-83 Mph,Over the Top,Normal,25,25,129,107,50,9,1,0,26,45,14,4,10,0.467,0.524,0.57,37.7,14.5,0.103,0.467,1.094,0.472,0,1.7,0,27,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935,
34361,2B,11,BILLY SHAUGHNESSY,,17,USA,"Sandusky, OH","5' 10""",165 lbs,Right,Right,Sandusky,University of New Jersey,Average,HS Senior,1,NEU,80-83 Mph,Over the Top,Normal,26,26,133,114,51,12,1,0,31,36,13,2,13,0.447,0.496,0.57,34.6,13,0.123,0.457,1.066,0.443,0,1.6,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935,
34523,SS,19,BILLY TATE,,16,USA,"Chicago, IL","5' 10""",150 lbs,Right,Right,Rochester,-,Average,HS Sophomore,1,FB,80-83 Mph,Normal (3/4),Normal,24,24,122,113,59,16,6,0,32,53,5,5,22,0.522,0.533,0.77,47.6,20.4,0.248,0.548,1.303,0.532,0,2.5,0,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935,
35478,SP,3,BIRDIE WHITNEY,,20,USA,"Denver, CO","5' 9""",160 lbs,Right,Right,Texas Panhandle,-,Great,CO Junior,3,NEU,83-85 Mph,Normal (3/4),Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,3,7,0,0,0,99,120,15,73,71,54,55,6.45,0.317,1.76,16.1,1.4,10.9,4.9,5,1,0,0,0,0,5.79,0,-0.6,-1,Slot,Easy,Average,1935,
35680,SP,3,BOB BARTON,,21,USA,"Boston, MA","5' 11""",175 lbs,Right,Right,Marquis College,-,Good,CO Junior,4,FB,80-83 Mph,Over the Top,Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,5,8,0,0,0,116.1,149,19,105,102,91,48,7.89,0.315,2.06,18.7,1.5,11.5,7,3.7,0.5,0,0,0,0,6.9,0,-2,-2.6,Slot,Extremely Hard,Average,1935,
34472,SP,32,BOB CARNES,,20,USA,"Los Angeles, CA","5' 10""",160 lbs,Left,Right,Coastal California,-,Great,CO Junior,5,NEU,83-85 Mph,Normal (3/4),Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,9,7,0,0,0,139.1,137,4,65,61,75,103,3.94,0.307,1.52,13.8,0.3,8.8,4.8,6.7,1.4,0,0,0,0,3.75,0,2.4,2.2,Slot,Hard,Average,1935,
35621,SP,18,BOB COLEMAN,,21,USA,"Chicago, IL","5' 9""",160 lbs,Left,Left,Whitney College,-,Great,CO Junior,3,NEU,83-85 Mph,Over the Top,Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,14,4,5,0,0,0,94.1,121,12,70,67,47,37,6.39,0.318,1.78,16.2,1.1,11.5,4.5,3.5,0.8,0,0,0,0,5.63,0,-0.5,-1,Slot,Normal,Average,1935,
34516,2B,17,BOB DOUGHERTY,,16,USA,"Boston, MA","5' 10""",155 lbs,Right,Right,Clinton,-,Average,HS Sophomore,1,NEU,80-83 Mph,Sidearm,Normal,20,20,103,84,34,8,2,0,22,31,14,3,10,0.405,0.5,0.548,25.6,12.5,0.143,0.449,1.048,0.42,0,1.2,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935,
37574,SP,50,BOB FERRAIUOLO,,20,USA,"Brooklyn, NY","5' 10""",155 lbs,Right,Right,Grafton University,-,Great,CO Sophomore,3,GB,84-86 Mph,Sidearm,Groundballer,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,4,3,0,0,0,74.1,83,2,39,35,32,16,4.24,0.289,1.55,14.2,0.2,10,3.9,1.9,0.5,0,0,0,0,4.49,0,0.5,0.7,Slot,Extremely Hard,Average,1935,
35379,SP,17,BOB LEONARD,BUMP,20,USA,"Providence, RI","5' 10""",160 lbs,Right,Right,Chesapeake State,-,Great,CO Sophomore,5,NEU,84-86 Mph,Over the Top,Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,3,6,0,0,0,91.2,107,12,60,56,42,46,5.5,0.304,1.63,14.7,1.2,10.5,4.1,4.5,1.1,0,0,0,0,5.31,0,-0.1,-0.2,Slot,Extremely Hard,Average,1935,
35561,SP,23,BOB SALTZMAN,KNUCKLES,18,USA,"Port Arthur, TX","5' 10""",155 lbs,Right,Right,La Porte,Baton Rouge State,Average,HS Senior,6,NEU,86-88 Mph,Normal (3/4),Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,9,2,0,0,0,115.2,80,3,23,19,31,134,1.48,0.242,0.96,8.9,0.2,6.2,2.4,10.4,4.3,0,0,0,0,2.1,0,4.9,5.8,Slot,Normal,Average,1935,
34022,2B,14,BOB SHOWALTER,,16,USA,"Palo Alto, CA","5' 9""",150 lbs,Right,Right,Palo Alto,-,Average,HS Sophomore,1,FB,80-83 Mph,Normal (3/4),Normal,22,22,111,89,37,7,2,0,25,33,15,3,9,0.416,0.523,0.539,32,13.9,0.124,0.464,1.062,0.43,0,1.4,0,35,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935,
34484,SP,7,BOB ZIZZA,ZIP,17,USA,"New York, NY","5' 9""",145 lbs,Right,Right,Calhoun,Ridgely College,Average,HS Senior,4,NEU,90-92 Mph,Normal (3/4),Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,9,1,0,0,0,111,78,3,21,20,36,152,1.62,0.266,1.03,9.3,0.2,6.3,2.9,12.3,4.2,0,0,0,0,1.81,0,5.2,5.7,Slot,Hard,Average,1935,
34145,SP,19,BOBBY GRANT,,20,USA,"Jersey City, NJ","5' 10""",165 lbs,Right,Right,Brooklyn Catholic,-,Good,CO Sophomore,3,NEU,80-83 Mph,Normal (3/4),Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,1,3,14,0,0,41.1,52,5,31,29,21,18,6.31,0.322,1.77,16.1,1.1,11.3,4.6,3.9,0.9,0,0,0,0,5.5,0,-0.5,-0.8,Slot,Extremely Hard,Average,1935,
35513,CF,16,BOBBY KUCHER,THE CHEF,18,USA,"Nashua, NH","5' 10""",155 lbs,Right,Right,Grafton,Eastern State,Average,HS Senior,1,FB,80-83 Mph,Sidearm,Normal,27,27,135,114,49,9,1,0,29,34,10,6,10,0.43,0.493,0.526,34.6,12.1,0.096,0.446,1.019,0.441,0,1.5,0,27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935,
