ID,POS,#,Name,Nickname,Age,NAT,COB,HT,WT,B,T,Schl,CommSch,COMP,HSC,PIT,G/F,VELO,Slot,PT,G,GS,PA,AB,H,2B,3B,HR,RBI,R,BB,SO,EBH,AVG,OBP,SLG,RC,RC/27,ISO,wOBA,OPS,BABIP,WPA,WAR,PI/PA,SB,CS,G,GS,W,L,SV,BS,HLD,IP,HA,HR,R,ER,BB,K,ERA,BABIP,WHIP,RA/9,HR/9,H/9,BB/9,K/9,K/BB,QS,CG,SHO,GO%,FIP,WPA,WAR,rWAR,DEM
33799,CF,16,STEVE ARNOLD,,17,USA,"St. Marys, PA","5' 11""",155 lbs,Right,Right,St. Marys,-,Average,HS Junior,1,FB,80-83 Mph,Normal (3/4),Normal,26,26,132,106,51,15,4,4,32,50,19,3,23,0.481,0.569,0.811,52.7,21.2,0.33,0.565,1.381,0.47,0,2.9,0,26,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot
34573,SP,23,CLIFF ATKINSON,,17,USA,"Clarksburg, WV","6' 0""",160 lbs,Right,Right,Beaver,-,Average,HS Junior,3,NEU,87-89 Mph,Normal (3/4),Normal,26,26,130,125,47,12,0,3,28,36,1,9,15,0.376,0.377,0.544,26.1,8.5,0.168,0.392,0.921,0.379,0,0.9,0,4,2,41,29,19,1,0,0,0,219.2,146,7,38,32,41,314,1.31,0.261,0.85,8,0.3,6,1.7,12.9,7.7,0,0,0,0,1.42,0,11.5,11.4,Slot
33613,SP,19,CLYDE AUSTIN,,18,USA,"Brooklyn, NY","6' 4""",170 lbs,Right,Right,Bushnell,-,Average,HS Junior,3,NEU,83-85 Mph,Normal (3/4),Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,4,2,0,0,0,69.1,50,1,17,15,26,79,1.95,0.265,1.1,10.1,0.1,6.5,3.4,10.3,3,0,0,0,0,2.32,0,2.5,2.8,Slot
33773,2B,25,JIM BADGER,,17,USA,"Chicago, IL","6' 1""",170 lbs,Right,Right,Marion Catholic,-,Average,HS Junior,1,FB,80-83 Mph,Normal (3/4),Normal,22,22,111,91,40,8,6,0,26,36,15,5,14,0.44,0.518,0.659,36.3,16.1,0.22,0.495,1.178,0.455,0,1.7,0,28,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot
34540,C,12,RAY BAILEY,,17,USA,"Buffalo, NY","5' 11""",170 lbs,Left,Right,Caledonia,-,Average,HS Junior,3,NEU,84-86 Mph,Normal (3/4),Normal,73,73,370,316,134,32,4,4,78,117,38,18,40,0.424,0.489,0.589,97.3,13.3,0.165,0.46,1.078,0.436,0,4.6,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot
33633,SS,10,HERSH BAINBRIDGE,,17,USA,"Kingston, PA","6' 2""",165 lbs,Switch,Right,Frackville,-,Average,HS Junior,1,NEU,80-83 Mph,Normal (3/4),Normal,25,25,128,102,43,9,2,0,22,30,18,3,11,0.422,0.504,0.549,32.3,11.3,0.127,0.45,1.053,0.422,0,1.5,0,32,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot
34662,2B,24,PAUL BALDWIN,,17,USA,"Sunbury, PA","5' 10""",150 lbs,Right,Right,Hallstead,-,Average,HS Junior,1,FB,80-83 Mph,Over the Top,Normal,75,75,383,325,136,40,6,7,85,116,32,16,53,0.418,0.491,0.643,110.1,14.7,0.225,0.48,1.134,0.422,0,5.5,0,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot
33635,3B,20,MARK BARKER,,17,USA,"West Point, MS","5' 10""",165 lbs,Right,Right,Tuscumbia,-,Average,HS Junior,3,NEU,83-85 Mph,Normal (3/4),Normal,21,21,106,83,33,9,0,2,22,25,15,7,11,0.398,0.495,0.578,26.8,12.7,0.181,0.452,1.073,0.408,0,1.3,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot
35741,CF,55,NED BARROW,,20,USA,"Council Bluffs, IA","5' 7""",150 lbs,Right,Right,Kirkpatrick University,-,Average,CO Sophomore,1,FB,80-83 Mph,Over the Top,Normal,129,129,650,584,197,33,6,3,122,139,50,16,42,0.337,0.392,0.43,108,6.8,0.092,0.363,0.822,0.34,0,2.7,0,82,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot
33600,3B,25,ANDY BEASLEY,,16,USA,"Detroit, MI","6' 0""",175 lbs,Right,Right,Hillsdale,-,Average,HS Junior,1,FB,80-83 Mph,Normal (3/4),Normal,26,26,133,116,58,13,0,1,33,53,13,4,14,0.5,0.553,0.638,43.8,19.1,0.138,0.515,1.191,0.509,0,2.3,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot
34630,3B,13,BILL BECKER,,16,USA,"East St. Louis, IL","6' 0""",160 lbs,Right,Right,Clayton,-,Average,HS Junior,1,NEU,80-83 Mph,Normal (3/4),Normal,77,77,387,337,152,43,3,2,87,134,26,14,48,0.451,0.504,0.614,111.9,14.9,0.163,0.479,1.118,0.46,0,5.5,0,25,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot
34108,SS,5,JOHN BELL,,16,USA,"Minneapolis, MN","6' 0""",150 lbs,Switch,Right,Jacksboro,-,Average,HS Junior,1,FB,80-83 Mph,Normal (3/4),Normal,46,46,235,203,90,24,3,2,54,73,26,7,29,0.443,0.506,0.621,70.3,15.1,0.177,0.483,1.127,0.449,0,3.4,0,31,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot
36394,SP,15,RAY BELL,BOX CAR,17,USA,"Slayton, MN","6' 1""",155 lbs,Right,Right,Slayton,-,Average,HS Junior,3,NEU,85-87 Mph,Sidearm,Normal,33,33,169,156,57,15,3,2,39,53,2,14,20,0.365,0.367,0.538,30.8,7.2,0.173,0.375,0.906,0.377,0,0.9,0,13,7,44,44,27,7,0,0,0,346,243,3,59,52,80,386,1.35,0.252,0.93,8.5,0.1,6.3,2.1,10,4.8,0,0,0,0,1.79,0,16.5,18.9,Slot
37484,3B,11,SPUD BENT,,19,USA,"New York, NY","5' 11""",180 lbs,Right,Right,Maryland State,-,Great,CO Sophomore,1,FB,80-83 Mph,Normal (3/4),Normal,156,156,786,662,201,43,3,25,137,165,90,40,71,0.304,0.401,0.491,143.5,7.5,0.187,0.387,0.891,0.292,0,4.8,0,116,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot
36389,SP,19,ELI BEST,,20,USA,"Stillwater, OK","6' 1""",155 lbs,Switch,Right,Daniel Boone College,-,Great,CO Sophomore,5,NEU,85-87 Mph,Normal (3/4),Normal,25,25,126,115,42,12,1,0,25,29,5,5,13,0.365,0.39,0.487,23,7.9,0.122,0.372,0.877,0.375,0,0.6,0,3,1,46,46,15,18,0,0,0,323,342,24,163,160,150,202,4.46,0.297,1.52,13.8,0.7,9.5,4.2,5.6,1.3,0,0,0,0,4.34,0,3.7,4.5,Slot
34027,SS,23,LARRY BIERWIRTH,,20,USA,"Hickory, NC","5' 9""",170 lbs,Right,Right,North Carolina Tech,-,Great,CO Sophomore,1,FB,80-83 Mph,Normal (3/4),Normal,108,108,541,464,130,20,2,2,74,101,68,38,24,0.28,0.375,0.345,69.5,5.4,0.065,0.331,0.72,0.3,0,0.7,0,28,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot
33636,LF,18,RED BLACKBURN,,17,USA,"Lakewood, OH","5' 10""",165 lbs,Right,Right,Marlington,-,Average,HS Junior,4,NEU,83-85 Mph,Normal (3/4),Normal,25,25,128,110,56,13,1,2,30,47,12,5,16,0.509,0.568,0.7,45.4,21.1,0.191,0.535,1.268,0.524,0,2.4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot
33601,CF,9,RAY BLAKE,,17,USA,"Brooklyn, NY","6' 0""",165 lbs,Right,Right,Pontotoc,-,Average,HS Junior,1,NEU,80-83 Mph,Normal (3/4),Normal,22,22,111,90,40,13,3,0,23,32,14,3,16,0.444,0.537,0.656,36.1,16.8,0.211,0.5,1.193,0.46,0,1.8,0,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot
34075,SS,10,JOHN BONNER,,19,USA,"Pampa, TX","6' 0""",180 lbs,Right,Right,Maryland State,-,Great,CO Sophomore,1,FB,80-83 Mph,Over the Top,Normal,113,113,568,516,154,20,4,0,85,124,44,6,24,0.298,0.353,0.353,71.8,4.9,0.054,0.319,0.706,0.3,0,0.1,0,72,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot
34639,C,23,BILL BOWEN,,17,USA,"Harrison, NJ","5' 10""",170 lbs,Right,Right,Paterson,-,Average,HS Junior,1,FB,80-83 Mph,Over the Top,Normal,67,67,343,311,144,33,3,4,84,110,20,6,40,0.463,0.493,0.627,99.8,14.6,0.164,0.477,1.12,0.458,0,4.8,0,21,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot
34613,2B,4,SKIP BOWMAN,,17,USA,"Green River, WY","5' 10""",165 lbs,Right,Right,Provo,-,Average,HS Junior,1,FB,80-83 Mph,Over the Top,Normal,70,70,358,300,124,32,7,6,77,104,43,14,45,0.413,0.491,0.627,103.9,14.2,0.213,0.472,1.118,0.417,0,4.9,0,52,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot
35730,3B,21,ALEX BOYD,,17,USA,"Sacramento, CA","5' 10""",160 lbs,Right,Right,Woodland,-,Average,HS Junior,1,FB,80-83 Mph,Normal (3/4),Normal,68,68,347,311,148,42,6,5,86,133,27,5,53,0.476,0.516,0.698,124.6,19.1,0.222,0.514,1.214,0.469,0,6,0,48,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot
34107,3B,6,CY BRADEN,,19,USA,"Eureka, CA","5' 10""",175 lbs,Right,Right,Grange College,-,Great,CO Sophomore,1,NEU,80-83 Mph,Normal (3/4),Normal,122,122,615,538,157,24,2,11,93,121,66,16,37,0.292,0.374,0.405,89.6,5.8,0.113,0.349,0.779,0.284,0,1.7,0,72,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot
34118,C,47,DEL BRANCH,,16,USA,"Wymore, NE","5' 7""",155 lbs,Right,Right,Nebraska City,-,Average,HS Junior,1,FB,80-83 Mph,Normal (3/4),Normal,52,52,262,208,87,26,2,7,57,77,31,11,35,0.418,0.514,0.663,78.6,15.7,0.245,0.491,1.177,0.412,0,4,0,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot
35722,SS,23,GILBERT BRENNAN,,17,USA,"Chicago, IL","5' 8""",145 lbs,Right,Right,Elizabethtown,-,Average,HS Junior,1,FB,80-83 Mph,Normal (3/4),Normal,69,69,356,334,153,42,9,5,92,132,16,12,56,0.458,0.479,0.683,108.5,14.2,0.225,0.491,1.161,0.463,0,5.4,0,46,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot
36427,2B,17,ROOSEVELT BREWER,ROSIE,16,USA,"Chicago, IL","5' 11""",175 lbs,Right,Right,Washington,-,Average,HS Junior,1,NEU,80-83 Mph,Normal (3/4),Normal,72,72,366,318,170,44,13,4,98,134,27,6,61,0.535,0.581,0.792,169.1,27.8,0.258,0.572,1.373,0.534,0,8.1,0,76,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot
34577,LF,1,BELVE BROWN,,16,USA,"Cincinnati, OH","6' 2""",165 lbs,Switch,Right,Trenton,-,Average,HS Junior,1,FB,80-83 Mph,Normal (3/4),Normal,72,72,365,313,131,32,1,6,82,107,38,15,39,0.419,0.481,0.585,95.8,13,0.166,0.459,1.065,0.418,0,4.5,0,23,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot
33605,1B,3,DIXIE BROWN,,20,USA,"Webster, MA","5' 10""",185 lbs,Left,Left,Brooklyn Catholic,-,Good,CO Sophomore,1,FB,80-83 Mph,Normal (3/4),Normal,50,50,251,210,59,7,1,9,42,56,34,28,17,0.281,0.388,0.452,42.5,7.1,0.171,0.371,0.84,0.286,0,1.2,0,26,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot
33724,SP,20,HAL BROWN,,16,USA,"Marion, KS","5' 9""",145 lbs,Left,Left,Marion,-,Average,HS Junior,3,NEU,83-85 Mph,Sidearm,Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,9,1,0,0,0,106,92,2,27,26,26,98,2.21,0.282,1.11,10.3,0.2,7.8,2.2,8.3,3.8,0,0,0,0,2.42,0,3.9,4.4,Slot
33785,SP,5,JAY BROWN,,17,USA,"Chicago, IL","5' 11""",150 lbs,Right,Right,Tipp City,-,Average,HS Junior,3,NEU,83-85 Mph,Sidearm,Normal,9,9,45,42,16,3,0,0,8,14,1,5,3,0.381,0.4,0.452,7.9,7.1,0.071,0.375,0.852,0.421,0,0.2,0,7,3,14,14,7,2,0,0,0,99.1,66,1,17,16,31,119,1.45,0.246,0.98,9,0.1,6,2.8,10.8,3.8,0,0,0,0,1.93,0,4.4,5.3,Slot
34050,SP,2,MACK BRUBAKER,,17,USA,"Lodi, NJ","6' 0""",155 lbs,Right,Right,Ironton,-,Average,HS Junior,3,EX GB,84-86 Mph,Sidearm,Groundballer,29,29,151,137,49,11,0,4,31,41,3,15,15,0.358,0.37,0.526,27.4,7.3,0.168,0.369,0.895,0.369,0,0.7,0,9,4,25,25,13,4,0,0,0,169.1,122,3,38,31,49,183,1.65,0.251,1.01,9.3,0.2,6.5,2.6,9.7,3.7,0,0,0,0,2.21,0,6.8,7.7,Slot
34509,2B,15,MIKE BRYANT,,17,USA,"Chicago, IL","6' 0""",155 lbs,Right,Right,Berwyn,-,Average,HS Junior,1,FB,80-83 Mph,Over the Top,Normal,72,72,368,312,128,32,19,6,81,117,35,17,57,0.41,0.49,0.692,126,16.8,0.282,0.493,1.183,0.421,0,5.7,0,94,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot
33733,2B,8,JIM BUCHANAN,,16,USA,"Paris, TN","5' 9""",150 lbs,Right,Right,Paris,-,Average,HS Junior,1,FB,80-83 Mph,Over the Top,Normal,22,22,110,86,37,13,1,1,25,27,16,5,15,0.43,0.514,0.64,31.6,15.2,0.209,0.477,1.154,0.434,0,1.5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot
34115,SP,16,GEORGE BUCKLEY,,17,USA,"Flint, MI","5' 8""",145 lbs,Right,Right,Dearborn,-,Average,HS Junior,3,NEU,85-87 Mph,Normal (3/4),Normal,12,12,65,56,21,6,4,4,21,19,0,12,14,0.375,0.365,0.839,16.5,9.7,0.464,0.45,1.204,0.378,0,0.8,0,10,4,26,15,8,2,0,0,0,122,100,6,34,29,31,116,2.14,0.26,1.07,9.7,0.4,7.4,2.3,8.6,3.7,0,0,0,0,2.72,0,3.6,4.4,Slot
33627,CF,24,GEORGE BUCKLEY,,17,USA,"Evanston, IL","5' 11""",150 lbs,Right,Right,St. Ignatius,-,Average,HS Junior,1,NEU,80-83 Mph,Normal (3/4),Normal,22,22,112,89,39,9,4,2,26,37,15,2,15,0.438,0.527,0.697,36.5,16.7,0.258,0.513,1.223,0.42,0,1.9,0,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot
34116,CF,10,BILLY BURDICK,,17,USA,"Wilmington, DE","5' 10""",150 lbs,Right,Right,Girardville,-,Average,HS Junior,1,NEU,80-83 Mph,Over the Top,Normal,43,43,217,189,89,23,3,7,60,69,20,2,33,0.471,0.521,0.735,77,19.6,0.265,0.528,1.256,0.446,0,4,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot
34725,C,5,LEO CABAN,,17,USA,"New York, NY","5' 8""",155 lbs,Switch,Right,Carlstadt,-,Average,HS Junior,1,FB,80-83 Mph,Normal (3/4),Normal,64,64,327,280,118,30,3,5,71,96,32,16,38,0.421,0.475,0.604,85,12.4,0.182,0.455,1.079,0.425,0,4,0,22,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot
34615,SS,13,JOE CABELL,,17,USA,"New York, NY","5' 6""",135 lbs,Left,Right,Newman,-,Average,HS Junior,1,FB,80-83 Mph,Normal (3/4),Normal,73,73,369,325,158,53,7,6,87,138,17,6,66,0.486,0.529,0.748,135.1,20,0.262,0.534,1.276,0.478,0,7,0,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot
34582,SP,1,BUTCH CAMPBELL,,17,USA,"Boston, MA","6' 1""",150 lbs,Right,Right,Hartford,-,Average,HS Junior,3,NEU,87-89 Mph,Normal (3/4),Normal,50,50,258,248,94,21,4,2,57,68,2,20,27,0.379,0.386,0.52,49.5,8.1,0.141,0.385,0.906,0.404,0,1.6,0,11,6,41,22,10,4,1,0,0,172,133,4,41,38,53,190,1.99,0.27,1.08,10,0.2,7,2.8,9.9,3.6,0,0,0,0,2.3,0,6,6.9,Slot
34106,3B,16,ELMER CAMPBELL,,20,USA,"Manchester, NH","5' 10""",175 lbs,Right,Right,North Carolina Atlantic,-,Good,CO Sophomore,1,FB,80-83 Mph,Normal (3/4),Normal,93,93,469,395,107,22,10,15,73,95,68,45,47,0.271,0.382,0.491,84.1,7.3,0.22,0.38,0.873,0.273,0,2.6,0,66,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot
34531,SP,12,JOE CAMPBELL,,17,USA,"Mayfield, KY","6' 2""",160 lbs,Left,Right,Marion,-,Average,HS Junior,3,NEU,85-87 Mph,Over the Top,Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,26,7,0,0,0,343.1,296,10,100,96,125,287,2.52,0.263,1.23,11.1,0.3,7.8,3.3,7.5,2.3,0,0,0,0,3.03,0,9.4,12.7,Slot
34103,SP,13,ROBERT CAMPBELL,,19,USA,"Washington, DC","5' 11""",160 lbs,Right,Right,Miami State,-,Great,CO Sophomore,3,NEU,83-85 Mph,Normal (3/4),Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,9,17,0,0,0,230.1,282,33,180,174,157,101,6.8,0.307,1.91,17.2,1.3,11,6.1,3.9,0.6,0,0,0,0,6.26,0,-2.5,-3,Slot
34524,CF,30,CY CARDIN,,17,USA,"Canton, OH","5' 10""",155 lbs,Right,Right,Monroeville,-,Average,HS Junior,1,FB,80-83 Mph,Normal (3/4),Normal,62,62,317,278,123,29,7,7,74,113,29,11,43,0.442,0.498,0.673,105.2,16.3,0.23,0.491,1.171,0.444,0,4.8,0,66,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot
33598,SS,2,BILL CARR,,19,USA,"Pasadena, CA","6' 0""",170 lbs,Right,Right,Columbia Military Academy,-,Great,CO Sophomore,1,FB,80-83 Mph,Normal (3/4),Normal,39,39,196,169,50,7,3,1,35,31,23,10,11,0.296,0.383,0.391,28.7,5.8,0.095,0.349,0.773,0.306,0,0.6,0,33,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot
34009,3B,2,MONK CASEY,,17,USA,"Denver, CO","5' 11""",175 lbs,Right,Right,Louisville,-,Average,HS Junior,3,NEU,83-85 Mph,Normal (3/4),Normal,47,47,239,197,88,27,2,5,53,75,37,10,34,0.447,0.531,0.68,77.8,18.3,0.234,0.515,1.212,0.449,0,4.1,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot
34583,SP,21,AL CASH,,17,USA,"West Reading, PA","6' 4""",175 lbs,Switch,Right,Totowa,-,Average,HS Junior,3,NEU,90-92 Mph,Over the Top,Normal,39,39,200,185,67,25,4,1,47,57,5,14,30,0.362,0.377,0.557,39.3,7.9,0.195,0.392,0.934,0.375,0,1.3,0,20,9,38,38,18,8,0,0,0,262.1,205,9,69,62,90,304,2.13,0.269,1.12,10.3,0.3,7,3.1,10.4,3.4,0,0,0,0,2.4,0,9.6,10.5,Slot
